Date,Open,High,Low,Close,AdjustedClose,Volume,Dividend,Split
2014-03-05,119.4125,119.728,118.7817,119.1872,99.1585,797926,0.0,1.0
2014-03-06,119.052,119.1422,117.8804,118.6465,98.7086,768115,0.0,1.0
2014-03-07,118.7817,119.4125,117.7002,118.6465,98.7086,906213,0.0,1.0
2014-03-10,118.4212,119.5027,117.4749,118.3761,98.4837,573107,0.0,1.0
2014-03-11,118.6014,118.7817,117.7903,117.9706,98.1463,466080,0.0,1.0
2014-03-12,117.2045,117.52,115.357,116.2582,96.7217,1059005,0.0,1.0
2014-03-13,117.1595,117.52,115.5823,115.5823,96.1594,808865,0.0,1.0
2014-03-14,114.6811,114.8613,112.6533,114.2305,95.0347,1268099,0.0,1.0
2014-03-17,114.4558,115.6274,113.6897,115.357,95.9719,670792,0.0,1.0
2014-03-18,114.9064,117.1144,114.3206,116.3484,96.7967,816081,0.0,1.0
2014-03-19,116.3033,116.3934,114.8613,115.6274,96.1968,784848,0.0,1.0
2014-03-20,114.9515,116.5286,113.7348,116.5286,96.9466,1171673,0.0,1.0
2014-03-21,116.4835,117.1144,115.2218,116.2132,96.6842,1133645,0.0,1.0
2014-03-24,116.2582,116.7539,115.1768,115.7626,96.3093,565189,0.0,1.0
2014-03-25,116.3033,118.5113,116.1681,118.3311,98.4462,950918,0.0,1.0
2014-03-26,118.9619,120.0434,118.6014,119.4576,99.3834,817799,0.0,1.0
2014-03-27,119.0971,120.1786,118.1959,119.773,99.6458,599289,0.0,1.0
2014-03-28,120.2236,120.7644,119.5928,120.5391,100.2831,532743,0.0,1.0
2014-03-31,120.8996,121.3502,118.8718,118.9169,98.9335,705449,0.0,1.0
2014-04-01,120.8545,121.4403,120.3138,121.0347,100.6955,869017,0.0,1.0
2014-04-02,121.6656,121.7107,120.6742,120.9446,100.6205,597645,0.0,1.0
2014-04-03,120.5391,121.4403,119.773,120.3588,100.1332,748170,0.0,1.0
2014-04-04,120.2687,120.6292,118.9169,120.4489,100.2082,682154,0.0,1.0
2014-04-07,119.728,121.1249,118.8267,120.2687,100.0582,808939,0.0,1.0
2014-04-08,120.6292,121.8909,119.6829,121.7107,101.2579,874703,0.0,1.0
2014-04-09,121.8909,123.3329,121.8909,122.9724,102.3076,858409,0.0,1.0
2014-04-10,125.1804,128.3797,125.0903,126.9378,105.6066,3080932,0.0,1.0
2014-04-11,126.2619,127.8841,125.4507,127.2532,107.4777,1349312,1.9,1.0
2014-04-14,125.5409,128.3797,125.5409,128.1094,109.6767,1091979,1.7123,1.0
2014-04-15,127.7038,129.1458,127.4334,127.9742,109.5609,1139499,0.0,1.0
2014-04-16,128.9205,129.3711,128.0192,128.8303,110.2939,905305,0.0,1.0
2014-04-17,128.2896,128.7402,126.7575,128.605,110.101,733457,0.0,1.0
2014-04-22,128.605,129.3711,128.4248,128.9655,110.4096,703888,0.0,1.0
2014-04-23,128.605,129.3711,128.0643,128.2446,109.7924,783380,0.0,1.0
2014-04-24,128.3347,129.1458,127.6588,128.56,110.0624,802627,0.0,1.0
2014-04-25,127.9742,128.7853,127.7038,127.9291,109.5224,653855,0.0,1.0
2014-04-28,127.9742,128.4699,127.3884,127.6588,109.2909,608633,0.0,1.0
2014-04-29,127.7939,128.4699,125.8112,126.4421,108.2493,1277314,0.0,1.0
2014-04-30,126.1267,128.0643,126.0816,127.7489,109.368,669014,0.0,1.0
2014-05-02,127.8841,128.1094,126.5773,126.8927,108.6351,635704,0.0,1.0
2014-05-05,126.8927,126.9378,125.1804,126.7575,108.5193,458565,0.0,1.0
2014-05-06,126.6674,127.5236,125.8563,126.1717,108.0178,489814,0.0,1.0
2014-05-07,126.0816,127.4785,125.9014,126.2619,108.095,704756,0.0,1.0
2014-05-08,126.8927,128.6952,126.2619,128.605,110.101,884829,0.0,1.0
2014-05-09,127.8841,128.4248,127.2532,127.839,109.4452,472593,0.0,1.0
2014-05-12,127.9291,129.281,127.7489,129.1007,110.5254,497820,0.0,1.0
2014-05-13,129.1007,129.5513,128.3797,128.8303,110.2939,789052,0.0,1.0
2014-05-14,128.7402,128.8303,127.7038,128.3347,109.8696,800289,0.0,1.0
2014-05-15,128.1995,130.3624,127.8841,129.3711,110.7568,1157770,0.0,1.0
2014-05-16,129.6415,129.9118,128.4699,129.5513,110.9112,812583,0.0,1.0
2014-05-19,129.5513,129.7316,127.6137,128.2896,109.831,797627,0.0,1.0
2014-05-20,128.605,128.8754,127.2983,128.6501,110.1396,528324,0.0,1.0
2014-05-21,128.5149,129.7316,127.7038,129.7316,111.0655,807472,0.0,1.0
2014-05-22,129.7766,129.9569,129.0106,129.3711,110.7568,543032,0.0,1.0
2014-05-23,129.5964,129.7316,128.1544,129.0106,110.4482,527907,0.0,1.0
2014-05-26,129.5063,130.047,128.56,130.0019,111.2969,370505,0.0,1.0
2014-05-27,129.7316,130.6779,128.3347,130.3624,111.6056,576118,0.0,1.0
2014-05-28,130.3624,130.5427,128.9205,129.9569,111.2584,760567,0.0,1.0
